"","title","price"
"469","
QMobileNoir Z6","Rs. 22,500"
"470","
QMobileNoir X37","Rs. 5,850"
"471","
QMobileNoir LT150","Rs. 10,900"
"472","
QMobileNoir X700","Rs. 12,000"
"473","
QMobileNoir X900 16GB","Rs. 14,900"
"474","
QMobileNoir X900 8GB","Rs. 14,000"
"475","
QMobileLinq X70","Rs. 7,050"
"476","
QMobileLinq LT10","Rs. 13,500"
"477","
QMobileNoir A290","Rs. 7,800"
"478","
QMobileNoir A115","Rs. 5,500"
"479","
QMobileTablet QTab Q400","Rs. 11,900"
"480","
QMobileNoir X1","Rs. 4,500"
"481","
QMobileXL10","Rs. 2,750"
"482","
QMobileNoir A610","Rs. 17,900"
"483","
QMobileXL40","Rs. 2,890"
"484","
QMobileTablet QTab Q850","Rs. 13,900"
"485","
QMobileXL20","Rs. 2,850"
"486","
QMobileNoir X450","Rs. 10,500"
"487","
QMobileXL30","Rs. 2,875"
"488","
QMobileG175","Rs. 1,700"
"489","
QMobileM50","Rs. 2,150"
"490","
QMobileM100","Rs. 2,200"
"491","
QMobileNoir Z8","Rs. 16,900"
"492","
QMobileLinq LT600","Rs. 14,900"
"493","
QMobileNoir M300","Rs. 16,000"
"494","
QMobileNoir X350","Rs. 9,800"
"495","
QMobileNoir X25","Rs. 6,950"
"496","
QMobileR480","Rs. 2,650"
"497","
QMobileH52","Rs. 1,860"
"498","
QMobileR990","Rs. 2,950"
"499","
QMobileXL50","Rs. 3,250"
"500","
QMobileR720","Rs. 2,090"
"501","
QMobileH64","Rs. 2,050"
"502","
QMobileNitro Pro M88","Rs. 8,800"
"503","
QMobileW1","Rs. 5,990"
"504","
QMobileC10","Rs. 1,950"
"505","
QMobileR240","Rs. 2,050"
"506","
QMobileN225","Rs. 1,890"
"507","
QMobileB65","Rs. 1,800"
"508","
QMobileL2","Rs. 1,550"
"509","
QMobileH66","Rs. 2,050"
"510","
QMobileS200","Rs. 2,100"
"511","
QMobileH63","Rs. 2,025"
"512","
QMobileNoir S2","Rs. 11,500"
"513","
QMobileNoir E8","Coming Soon"
"514","
QMobileE995","Rs. 3,500"
"515","
QMobileR360","Rs. 2,600"
"516","
QMobileL1","Rs. 1,490"
"517","
QMobileNoir M90","Rs. 13,500"
"518","
QMobileNoir X800","Rs. 13,000"
"519","
QMobileNoir X10","Rs. 4,650"
"520","
QMobileBolt T200","Rs. 5,350"
"521","
QMobileExplorer 3G","Rs. 3,990"
"522","
QMobileTablet QTab Q300","Rs. 11,500"
"523","
QMobileNoir Z8 Plus","Rs. 20,999"
"524","
QMobileNoir i8","Rs. 11,900"
"525","
QMobileB260","Rs. 2,100"
"526","
QMobileB600","Rs. 2,850"
"527","
QMobileNoir X30","Rs. 5,490"
"528","
QMobileR800","Rs. 2,625"
"529","
QMobilePower3","Rs. 2,175"
"530","
QMobileM80","Rs. 2,200"
"531","
QMobileX4","Rs. 2,450"
"532","
QMobileBolt T50","Rs. 4,990"
"533","
QMobileR400","Rs. 2,250"
"534","
QMobileR440","Rs. 2,150"
"535","
QMobilePower4","Rs. 2,275"
"536","
QMobileW200","Rs. 3,800"
"537","
QMobileNoir X950","Rs. 26,500"
"538","
QMobileR250","Rs. 2,550"
"539","
QMobileNoir X400","Rs. 10,500"
"540","
QMobileNoir S1","Rs. 10,200"
"541","
QMobileNoir X150","Rs. 9,950"
"542","
QMobileA1","Rs. 11,500"
"543","
QMobileR850","Rs. 2,475"
"544","
QMobileN175","Rs. 2,200"
"545","
QMobileNoir Z9","Rs. 19,500"
"546","
QMobileBolt T400","Rs. 7,990"
"547","
QMobileN250","Rs. 2,275"
"548","
RivoRhythm RX65","Rs. 6,950"
"549","
RivoRhythm RX70","Rs. 8,700"
"550","
RivoRhythm RX80","Rs. 9,399"
"551","
RivoRhythm RX75","Rs. 8,900"
"552","
RivoRhythm RX100","Rs. 14,900"
"553","
RivoRhythm RX45","Rs. 4,600"
"554","
RivoPhantom PZ1","Rs. 6,550"
"555","
RivoPhantom PZ10","Rs. 12,500"
"556","
RivoPhantom PZ8","Rs. 9,400"
"557","
RivoPhantom PZ15","Rs. 14,000"
"558","
RivoRhythm RX60","Rs. 9,499"
"559","
RivoRhythm RX55","Rs. 5,450"
"560","
RivoPhantom PZ18","Rs. 16,500"
"561","
RivoRhythm RX50","Rs. 5,200"
"562","
RivoRhythm RX35","Rs. 5,700"
"563","
RivoRhythm RX40","Rs. 6,700"
"564","
RivoAdvance A240","Rs. 2,550"
"565","
RivoAdvance A235","Rs. 2,375"
"566","
RivoAdvance A230","Rs. 2,550"
"567","
RivoAdvance A225","Rs. 2,125"
"568","
RivoAdvance A220","Rs. 2,075"
"569","
RivoAdvance A210","Rs. 1,975"
"570","
RivoJaguar J505","Rs. 2,990"
"571","
RivoSapphire S610","Rs. 2,875"
"572","
RivoNeo N310","Rs. 2,150"
"573","
RivoRhythm RX150","Rs. 12,850"
"574","
SamsungGalaxy S6","Rs. 54,999"
"575","
SamsungGalaxy S4 I9500","Rs. 37,500"
"576","
SamsungGalaxy S5 Active","N/A"
"577","
SamsungGalaxy S5 Mini","N/A"
"578","
SamsungGalaxy Note 5","Rs. 77,500"
"579","
SamsungGalaxy Core Prime","Rs. 14,500"
"580","
SamsungGalaxy Grand 3","Coming Soon"
"581","
SamsungGalaxy A7","Rs. 42,999"
"582","
SamsungGalaxy Grand I9082","Rs. 35,900"
"583","
SamsungGalaxy Ace Style","Coming Soon"
"584","
SamsungE2202","Rs. 4,200"
"585","
SamsungGalaxy S3 Neo","Rs. 24,999"
"586","
SamsungGalaxy K Zoom","Rs. 41,500"
"587","
SamsungGalaxy S6 Edge Plus","Rs. 89,999"
"588","
SamsungGalaxy S5 Neo","Coming Soon"
"589","
SamsungGalaxy E7","Rs. 35,500"
"590","
SamsungGalaxy Core I8260","Rs. 22,500"
"591","
SamsungGalaxy S2 Plus","Rs. 31,999"
"592","
SamsungYacca B360","Rs. 5,800"
